Model,Accuracy,Precision,Recall,F1-Score
Logistic Regression,91.97166469893743,91.98936079627826,91.97166469893743,91.91388497671774
KNN,99.52774498229043,99.52945719834794,99.52774498229043,99.52801608001558
SVC,97.52066115702479,97.60393863643554,97.52066115702479,97.53055264235813
Decision Tree,98.7012987012987,98.70472565859188,98.7012987012987,98.69936006899226
Random Forest,99.64580873671783,99.6463064443363,99.64580873671783,99.6459109785489
Gradient Boosting,98.46517119244392,98.4852499025342,98.46517119244392,98.4681673693828
Bayesian Ridge,90.67296340023613,91.2921652649549,90.67296340023613,90.44742751687359
